timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1707177003,,3.802273,0,0,2.936243,0,0,3.493334,0,0,1.092705,0,0,0,0.665728,0,0
1707177004,,0,1.52343,0.716011,0,3.664952,0,0,3.770332,0,3.278115,0.643491,0,0,3.32864,0,0
1707177005,,0,0,3.580055,2.224659,0,3.712163,0,0,1.274468,0,2.573965,1.254889,3.324107,0,3.421521,3.223145
1707177006,,3.673046,0,0,1.483106,0,0,3.659543,0,0,0,0,0,0,2.352918,0,0,1.368608,0,0,0
1707177007,,0,3.049212,0.952475,0,3.62518,0.738464,0,3.742252,0,0,0,2.526313,0.877527,0,0,3.388102,0,0,0,0
1707177008,,0.737938,0.762303,3.047919,2.905721,0,3.692319,1.456133,0,0,0,3.420377,0.789473,2.808086,0,3.698391,0,4.069813,3.548271,0,0
1707177009,,2.951753,0,0,1.45286,0,0,2.730249,0.75985,0,0,0,0,0,3.215458,0,0,0,0,0,0
1707177010,,0,3.832207,0.720091,0,3.307365,0.905763,0,3.799248,0,0,0,0,0,0,0,3.427701,0,0,0,0
1707177011,,2.154639,0,2.880366,3.719608,0,2.898441,1.757062,0,0,0,1.901193,3.119644,3.131105,0,3.460536,0,3.35802,3.233824,0,0
1707177012,,1.795532,0.762755,0,0,1.490317,0,2.108475,1.907125,0,0,1.267462,0,0,3.124049,0,0,0,0,0,0
1707177013,,0,3.813775,2.363708,0,2.980634,1.475047,0,2.28855,0,0,0,0,0,0,0,3.415391,0,0,0,0
1707177014,,3.582568,0,1.575805,3.724397,0,2.212571,3.585815,0,0,0,3.351696,1.30233,3.421568,0,2.725697,0,3.693074,3.110268,0,0
1707177015,,0,2.82041,0,0,0.691358,0,0,2.929827,0,0,2.681357,0,0,1.876662,1.362849,0,3.693074,0,0,0
1707177016,,0,1.504219,3.034239,0,2.765434,2.958316,0,0.732457,0,0,0,0,0,1.251108,0,3.425997,2.618153,0,0,0
1707177017,,3.972821,0,0.9482,3.555289,0,0.924474,3.61569,0,0,0,0,3.348524,3.432645,0,3.036224,0,0.818173,3.338639,0,0
1707177018,,0,3.849937,0,0,2.116463,0,0,3.793173,0,0,0,0,0,0.626297,0.759056,0,0,0,0,0
1707177019,,1.492687,0,3.638737,0,2.116463,3.683673,0,0,0,0,0,0,0,3.131484,0,2.688818,3.372953,0,0,0
1707177020,,2.239031,0.775885,0.727747,3.669126,0,0.736735,3.520822,0,0,0,0,2.345316,3.20378,0,2.238018,0.840256,0,3.416811,0,0
1707177021,,0,3.879427,0,0,3.842991,0,0,3.763003,0,0,2.63016,0,0,0,1.492012,0,0,0.683362,0,0
1707177022,,3.829417,0,3.779315,0,0,3.786301,0.732502,0,0,0,0,0,0,3.095215,0,0.850011,3.992488,0,0,0
1707177023,,0,2.807672,0,3.772633,0,0,3.662509,0.752597,0,0,0,3.17313,3.298957,0,1.334775,2.720034,0,1.900223,0,0
1707177024,,0,0,0,0,3.444489,0,0,0,0,0,2.993915,0,0,0,2.66955,0,5.241066,1.266815,0,0
1707177025,,3.423018,0,2.840468,1.439347,0,3.601482,0.691586,0,0,0,0,0,0,2.209528,0,0,2.096426,0,0,0
1707177026,,0,3.917168,0.710117,2.698775,0,0,2.766343,2.244417,0,0,0,1.252883,3.321907,1.178415,0,3.310177,0,1.989868,0,0
1707177027,,0,0,0,0,3.795655,0,0,2.244417,0,0,2.71009,2.349155,0,0,3.715359,0,2.938511,1.989868,0,0
1707177028,,3.654344,0,2.843308,2.80827,0,3.553288,1.362781,0,0,0,0.846903,0,0,0.629676,0,0,1.469256,0,0,0
1707177029,,0,3.75611,0.710827,1.497744,0,0,2.725562,3.813083,0,0,0,0,2.580113,3.148378,0,3.393603,0,1.33442,0,0
1707177030,,2.375739,0,0,0,3.674579,0,0,0.762617,0,0,0,3.216772,1.290056,0,3.650777,0,2.179019,2.001631,0,0
1707177031,,1.583826,0.940221,3.911771,3.770339,0,3.745355,2.970846,0,0,0,3.405865,0,0,0,0,0,1.452679,0,0,0
1707177032,,0,3.008708,0,0,0,0,0.742712,3.905083,0,0,0,0,2.739907,3.206981,0,3.442063,0,1.701419,0,0
1707177033,,3.950954,0,0,0,3.665618,0,0,0,0,0,0,3.100596,0.856221,0,3.368041,0,3.468841,2.041703,0,0
1707177034,,0,3.815208,3.603573,3.72449,0,3.721782,3.433037,0,0,0,3.127057,0,0,0,0,0,0,0,0,0
1707177035,,0.740091,0,0.720715,0,0,0,0.686607,3.627099,0,0,0,0,2.533743,3.113748,0,3.486878,0,2.073803,0,0
1707177036,,3.700453,0,0,0,3.920646,1.535258,0,0,0,0,0,3.327865,1.35133,0.62275,3.77333,0,3.785666,1.728169,0,0
1707177037,,0,3.918369,3.779184,3.702446,0,2.302887,3.625263,0.761413,0,0,3.255659,0.665573,0,0,0,0,0,0,0,0
1707177038,,2.715658,0,0,0,0.70937,0,0,3.045651,0,0,0.651132,0,1.927785,1.25844,0,2.543018,6.185208,2.479587,0,0
1707177039,,1.448351,1.522502,0,0,2.83748,2.259839,0,0,0,0,0,0.640784,1.927785,1.88766,2.03925,1.356276,0,1.322447,0,0
1707177040,,0,3.045003,3.775509,3.70686,0,1.883199,3.652333,2.236049,0,0,0,2.563135,0,0,2.03925,0,0,0,0,0
1707177041,,3.81837,0,0,0,0.872117,0,0,1.4907,0,0,3.201064,0,1.643117,0,0,0.664298,3.539,2.008889,0,0
1707177042,,0,3.845147,0,1.475604,2.790774,3.643965,0.695793,0,0,0,0,0,1.971741,3.072164,0,3.32149,0,1.674074,0,0
1707177043,,0,0,3.593089,2.213406,0,0.728793,3.478964,3.79552,0,0,0,3.091718,0,0,3.374221,0,0,0,0,0
1707177044,,3.421558,0,0,0,0.712068,0,0,0.759104,0,0,3.111389,0,0,0,0,0,3.171581,1.720897,0,0
1707177045,,0,3.950657,0,2.163251,2.84827,3.745156,0.673538,0,0,0,0,0,3.114434,3.149971,0,3.45104,0,2.065076,0,0
1707177046,,0,0,3.837296,2.163251,0,0,2.694152,3.801205,0,0,0,3.442399,0,0,3.578762,0,0,0,0,0
1707177047,,3.922419,1.539048,0,0,3.002515,0,0,0,0,0,1.948203,0,0,0,0,0,3.739458,2.828608,0,0
1707177048,,0,3.078096,0,3.716189,1.501258,3.63268,2.733908,0,0,0,1.948203,0,3.367255,2.33646,0,3.377307,0,0.88394,0,0
1707177049,,2.801523,0,3.726207,0.743238,0,0,1.458084,3.670367,0,0,0,3.275453,0,1.246112,3.568663,0,0,0,0,0
1707177050,,1.494146,3.847542,0,0,3.918498,0,0,0,0,0,0.687078,0,0,0,0,0,3.718417,3.591017,0,0
1707177051,,0,0,0,3.76501,0,3.815396,3.640364,1.951209,0,0,3.435388,0,3.545305,0,0,3.421999,0,0.718203,0,0
1707177052,,3.839667,0,3.804971,0,0,0,0,2.34145,0,0,0,2.660373,0,3.118326,3.501922,0,2.850436,0,0,0
1707177053,,0,3.742829,0,0,3.396542,0,0,0,0,0,0,0.665093,0,0,0,0,2.672284,3.458087,0,0
1707177054,,0,0,0,3.791677,0,3.687613,3.616709,3.05883,0,0,3.152499,0,3.246183,0,0,3.415662,1.414217,0,0,0
1707177055,,3.810365,1.535992,3.972627,0,0,0,0,0.764708,0,0,0,1.346447,0,3.145998,3.701195,0,2.121325,0,0,0
1707177056,,0,2.879985,0,0.759204,3.722029,0,0,0,0,0,0,2.692895,0,0,0,0,0,3.418962,0,0
1707177057,,1.39346,0,0,3.796019,0,3.659672,3.661761,3.840289,0,0,3.1104,0,3.340015,0,0,2.005521,1.93818,0,0,0
1707177058,,2.78692,3.783009,3.502771,0,0,0,0,0,0,0,0.62208,0,0,3.126418,2.739187,1.337014,1.93818,0,0,0
1707177059,,0,0.756602,0,1.889856,3.573762,1.520718,0.715103,0,0,0,0,3.329507,0,0.625284,0.684797,0,0,3.412548,0,0
1707177060,,3.797518,0,0,2.267827,0,2.281077,3.575515,3.807195,0,0,2.030813,0,3.356669,0,0,1.747654,3.015903,0,0,0
1707177061,,0,3.801076,3.809514,0,0,0,0,0,0,0,1.692344,0,0,0.76607,1.314262,2.097184,0.753976,0,0,0
1707177062,,0,0,0,3.031413,3.474668,1.390468,0.873296,0.759494,0,0,0,3.172558,0,2.451424,2.628524,0,0,3.323393,0,0
1707177063,,3.521807,0,0,0.757853,0,2.085703,2.794549,3.037974,0,0,0,0,3.18795,0,0,0.67308,6.442488,0,0,0
1707177064,,0,3.760184,3.641603,0,0,0,0,0,0,0,3.135952,0,0,0,0,2.692318,0,0,0,0
1707177065,,0,0,0,3.74393,3.65479,3.094969,2.876519,2.246313,0,0,0,3.22407,0,3.265057,3.556934,0,3.653479,3.501131,0,0
1707177066,,3.875252,2.869643,1.974718,0,0,1.547484,0.898912,2.246313,0,0,0,0.644814,3.430988,0,0,0,3.653479,0,0,0
1707177067,,0,0,2.369661,0,0,0,0,0,0,0,3.10203,0,0,0,0,3.374602,1.881564,0,0,0
1707177068,,0.707889,0,0,3.711263,3.328373,3.671407,3.560919,3.81211,0,0,0.620406,1.266788,0,3.08078,3.391764,0,3.13594,3.474632,0,0
1707177069,,3.539447,2.85324,1.897553,0,0,0,0,0,0,0,0,1.900183,2.738051,0,0,0,0,0,0,0
1707177070,,0,0,2.277063,0,0.989245,0,0,0,0,0,1.30535,0,0.684513,0,0,3.354681,3.918639,0,0,0
1707177071,,2.79557,2.945812,0,3.709686,3.165582,3.734187,3.61316,3.831285,0,0,2.447531,0.673449,0,1.891102,3.700821,0,0,3.519559,0,0
1707177072,,1.490971,0.920566,2.18003,0,0,0,0,0,0,0,0,2.693796,2.605987,1.891102,0,0,2.485191,0,0,0
1707177073,,0,0,1.453354,0,0.705241,0,0,0,0,0,0,0,1.302993,0,0,3.370876,3.727786,0,0,0
1707177074,,3.588975,3.874852,0,3.54926,3.526206,3.669509,3.409575,3.744718,0,0,3.06788,0,0,0,3.586824,0,0,3.454025,0,0
1707177075,,0,0,3.211879,0,0,0,0,0,0,0,0,3.338515,2.060309,3.155788,0,0,2.208582,0,0,0
1707177076,,0,0,1.003712,3.670912,2.759466,0,0,1.531233,0,0,0,0,1.716924,0,0,1.99815,1.840485,0,0,0
1707177077,,3.885446,3.758849,0,2.93673,1.471715,3.729826,3.566104,2.296849,0,0,3.339101,0,0,0,3.674699,1.99815,0,3.574551,0,0
1707177078,,0,0,3.847114,0,0,0,0,0,0,0,0,3.1832,1.666219,3.167477,0,0,3.432813,0,0,0
1707177079,,1.402964,3.090391,0,2.258857,2.941923,0,0.706743,3.029866,0,0,0,0,1.999462,0,0,0.680644,0.686563,0,0,0
1707177080,,2.805927,0.965747,0,1.505905,0.735481,3.70832,3.533715,0.757467,0,0,2.646826,0,0,0,3.624632,2.722575,0,3.394357,0,0
1707177081,,0,0,3.934633,0,0,0,0,0,0,0,0.827133,2.644115,1.341382,2.582487,0,0,3.795205,0,0,0
1707177082,,3.805911,3.770723,0,3.759181,3.672497,0.719388,2.103584,3.635028,0,0,0,0.661029,2.682764,0.807027,0,0.680123,3.795205,0,0,0
1707177083,,0,0,0,0,0,2.877551,1.402389,0,0,0,0.643538,0,0,0,2.818563,3.400615,1.264901,3.444186,0,0
1707177084,,0,0,3.797005,0,0,0,0,0,0,0,2.574151,1.281144,0.662554,0.789589,0.880801,0,2.37169,0,0,0
1707177085,,3.696077,3.743308,0,3.737017,3.4184,1.551769,3.660989,3.76464,0,0,0,2.562288,2.650215,2.526683,0,0,0,0,0,0
1707177086,,0,0,0,0,0,2.327653,0.732198,0,0,0,0,0,0,0,2.116895,3.457613,3.555726,3.757878,0,0
1707177087,,0,1.527431,3.640512,0,0,0,0,0.764517,0,0,3.10117,0,0.670287,0,2.116895,0,3.555726,0,0,0
1707177088,,3.70038,2.863934,0,3.690619,3.574192,3.023493,3.607248,3.822585,0,0,0,3.184103,3.351436,3.185699,0,0,1.343677,0,0,0
1707177089,,0,0,0,0,0,1.511747,0,0,0,0,0,0,0,0,0.728297,3.35478,2.687355,3.405564,0,0
1707177090,,2.98335,3.864107,3.828861,0,0,0,0,2.245607,0,0,3.324334,0,0,0,2.913187,0,0,0,0,0
1707177091,,1.491675,0,0,0,3.552563,3.661924,3.517158,2.245607,0,0,0,3.156466,3.374997,3.125123,0,0,2.757402,0,0,0
1707177092,,0,0,0.71311,0,0,0.732385,0,0,0,0,0,0,0,0,0,3.423497,0.689351,3.313465,0,0
1707177093,,3.708289,3.674252,2.852442,3.616202,0,0,0,3.045433,0,0,2.786486,0,0,0,3.534079,0,0,0,0,0
1707177094,,0,0,0,0,3.621467,3.726625,3.520227,0.761358,0,0,0.696622,2.610935,3.265349,1.903412,0,0,3.443921,0,0,0
1707177095,,0,0.772694,1.534558,0,0,0,0,0,0,0,0,1.305467,0,1.903412,0,3.459503,0,3.428423,0,0
1707177096,,3.770704,3.090775,2.877297,3.74334,0,0,0.712186,3.746773,0,0,1.29875,0,0,0,3.555516,0.691901,3.413491,0,0,0
1707177097,,0,0,0,0,3.459306,3.604898,3.560929,0,0,0,2.597499,0,3.174942,0,0,0,5.689152,0,0,0
1707177098,,1.617335,3.841767,2.384182,0,0,0,0,0,0,0,0,3.07537,0,3.157171,0,2.753215,1.908482,3.342968,0,0
1707177099,,3.032504,0.768353,2.384182,3.776883,0.934236,0,1.82104,3.781333,0,0,0,0,0,0,3.600537,0.86038,3.853257,0,0,0
1707177100,,0,0,0,0,2.989555,3.682683,2.185247,0,0,0,3.41212,0,3.523241,0,0,0,0,0,0,0
1707177101,,3.988166,3.850089,2.842229,1.481956,0,0,0,0.760962,0,0,0,3.260446,0,3.098207,0,1.700265,1.297573,3.431398,0,0
1707177102,,0,0,1.515856,2.778667,1.392012,0,2.061226,3.043849,0,0,0,0,0,0,3.412032,2.040318,2.595145,0,0,0
1707177103,,0,0.747801,0,0,2.610023,3.648603,1.717688,0,0,0,3.195485,0,3.305108,0,0,0,0,0,0,0
1707177104,,3.795713,2.991205,3.123123,2.740169,0,0,0,2.273099,0,0,0,3.296374,0,1.844643,0,1.444506,2.147582,3.595616,0,0
1707177105,,0,0,0.780781,1.461424,2.860398,0,3.627721,1.894249,0,0,0,0.659275,0,1.537203,2.789057,2.708448,1.431721,0,0,0
1707177106,,0.700144,3.045313,0,0,1.430199,3.751495,0,0,0,0,1.613133,0,3.402898,0,0.697264,0,0,0.902564,0,0
1707177107,,2.800577,1.522656,3.874115,3.699318,0,0,0,3.763545,0,0,1.935759,1.283384,0,0,0,0,2.742382,2.888206,0,0
1707177108,,0,0,0,0,2.917562,0,3.679405,0,0,0,0,1.925077,0,3.094775,2.127155,3.339943,1.371191,0,0,0
1707177109,,3.084775,3.790812,0,0,0.72939,3.61318,0,0,0,0,0,0,3.398922,0,2.127155,0,0,0.691391,0,0
1707177110,,0.963992,0,3.988676,3.66796,0,0,0,2.307632,0,0,3.227856,0,0,0,0,0,2.666737,3.456957,0,0
1707177111,,0,0,0,0,3.462898,0.74721,3.600615,0,0,0,0,3.172684,0,3.104465,0.896203,3.357071,0.666684,0,0,0
1707177112,,3.758511,3.83787,0.792415,0,0,3.73605,0,3.800201,0,0,0,0,3.372169,0,2.867848,0,0,0.871074,0,0
1707177113,,0,0,3.962073,3.770385,0,0,0.91365,0.76004,0,0,3.410815,0,0,0,0,0,3.996247,2.787437,0,0
1707177114,,1.645496,3.090522,0,0,4.019822,2.944789,2.92368,0,0,0,0,3.481725,0,1.920944,1.505019,3.486184,0,0,0,0
1707177115,,3.290992,0.965788,3.177157,0,0,1.570554,0,3.828062,0,0,0,0,3.307078,1.280629,2.257528,0,6.439668,2.074644,0,0
1707177116,,0,0,1.588578,3.720241,0,0,2.896939,0,0,0,2.37558,0,0.661416,0,0,0,0,1.72887,0,0
1707177117,,2.116361,3.946331,0,0,3.73347,3.008797,0.905293,0,0,0,1.266976,3.260963,0,1.301895,1.448927,3.427699,0,0,0,0
1707177118,,1.410908,0,4.115713,1.484927,0,0.752199,0,3.923291,0,0,0,0,2.787632,2.60379,2.897854,0,3.803101,1.658691,0,0
1707177119,,0,0.777303,0,2.227391,2.219791,0,3.699039,0,0,0,0.644055,0,0.871135,0,0,0,0,1.990429,0,0
1707177120,,3.578298,3.10921,0,0,2.219791,3.771971,0,1.527362,0,0,3.220276,3.269685,0,0,0,2.681524,6.350888,0,0,0
1707177121,,0,0,3.572003,2.175598,0,0,0,2.291044,0,0,0,0,1.628218,3.072666,3.220004,0.837976,0,1.298679,0,0
1707177122,,0,3.867456,0,2.175598,3.115929,0,3.561359,0,0,0,0,0,1.953862,0,0,0,0.721419,2.597358,0,0
1707177123,,3.622926,0,0,0,0.778982,3.61654,0,3.788669,0,0,3.254531,1.299739,0,0,0,1.708027,3.607097,0,0,0
1707177124,,0,0,3.779814,2.244012,0,0,0,0,0,0,0,2.599479,1.275498,3.118319,3.393275,2.049632,0,0.854742,0,0
1707177125,,0,3.76017,0,1.496008,3.405554,0,3.395114,0,0,0,0,0,2.550995,0.623664,0,0,6.130304,2.735173,0,0
1707177126,,3.527171,0,0,0,0,3.669553,0,3.835245,0,0,2.306708,0,0,0,0,0.697064,0,0,0,0
1707177127,,0,0,3.739203,3.794331,0,0,0,0,0,0,1.230244,3.251713,0,1.255403,3.476571,3.485322,0,0.670281,0,0
1707177128,,1.503969,3.775064,0,0,4.014039,0,3.471318,0,0,0,0,0,3.344891,1.883105,0,0,3.509792,3.351405,0,0
1707177129,,2.255953,0,0,0,0,3.67641,0,3.77101,0,0,0,0,0,0,0,0,0,0,0,0
1707177130,,0,3.062357,3.558831,3.827234,0,0,0.710882,0,0,0,2.99796,2.99239,0,0,2.034995,3.403581,4.926468,0,0,0
1707177131,,2.057253,0.956987,0,0,3.459386,0,3.55441,1.49839,0,0,0,0.598478,3.014596,3.070303,1.695829,0,1.539521,3.334548,0,0
1707177132,,1.714377,0,0,0,0,3.637164,0,2.996779,0,0,0,0,0,0,0,0,0,0,0,0
1707177133,,0,3.743145,3.878911,3.757303,0.734249,0,1.444797,0,0,0,3.300295,1.662913,0,0,0.6849,3.360152,2.621954,0,0,0
1707177134,,3.650514,0,0,0,3.671244,0,2.167195,3.877136,0,0,0,1.995495,3.298698,3.187602,3.424499,0,1.398376,3.420674,0,0
1707177135,,0,0,0,0.763971,0,3.656893,0,0.775427,0,0,0,0,0,0,0,0,0,0,0,0
1707177136,,0,3.796189,3.73259,3.055886,2.972811,0,3.647968,0,0,0,2.489045,0,0,0,0,3.36728,4.080263,0,0,0
1707177137,,3.742139,0,0,0,1.585499,0,0.729594,3.833178,0,0,1.327491,3.24832,3.380938,1.562388,3.530519,0,0,3.487987,0,0
1707177138,,0,1.497605,0.993227,2.213065,0,3.603559,0,0,0,0,0,0,0,1.874866,0,0,0,0,0,0
1707177139,,0.713575,2.246407,3.178328,1.844221,3.700242,0,3.418906,0,0,0,0.645163,0,0,0,0,3.365109,3.617654,0,0,0
1707177140,,2.854299,0,0,0,0,0.729551,0,3.722294,0,0,3.225816,3.019782,3.297912,0,3.32115,0.673022,2.894123,3.361176,0,0
1707177141,,0,3.784508,1.504456,3.725149,0,2.918205,0,0,0,0,0,0,0,3.066596,0,0,3.735259,0,0,0
1707177142,,2.911367,0,2.256684,0.74503,3.831906,0,3.520701,0.731928,0,0,0,0,0,0,0,2.810954,0,0.693379,0,0
1707177143,,1.455683,0,0,0,0,1.507676,0,2.927711,0,0,3.282981,2.506641,3.363316,0,3.526444,0.702739,0,3.466897,0,0
1707177144,,0,3.797196,1.42328,3.716021,0,2.826892,0,0,0,0,0,0.62666,0.672663,3.121203,0,0,3.359685,0,0,0
1707177145,,3.441103,0,2.13492,0,3.511152,0,3.608947,2.210506,0,0,0,0,0,0,0,2.080107,0,0,0,0
1707177146,,0,0.724716,0,0,0,2.159251,0,1.842089,0,0,3.248612,0.641422,1.890705,0,2.74505,2.080107,0.738238,3.428932,0,0
1707177147,,0,2.898862,2.317937,3.744602,0,2.159251,0.727574,0,0,0,0,2.56569,1.890705,1.573314,0.857828,0,2.952951,0,0,0
1707177148,,3.836876,0,2.317937,0,3.910266,0,2.910294,3.784224,0,0,0,0,0,1.887977,0,1.392268,0,0.676723,0,0
1707177149,,0,3.041208,0,0,0,2.219083,0,0,0,0,2.558152,0,2.009906,0,2.769372,2.088401,2.811889,3.383615,0,0
1707177150,,0,1.520604,2.805022,3.761005,0.697423,1.479389,2.674478,0,0,0,1.279076,3.199047,1.339937,0,1.384686,0,0.878715,0,0,0
1707177151,,3.547251,0,1.496012,0,3.487116,0,1.426388,3.722756,0,0,0,0,0,3.144078,0,0,0,0,0,0
1707177152,,0,3.798509,0,1.455683,0,3.723635,0,0,0,0,1.380116,0,2.031428,0,1.475365,3.356625,3.583654,3.253937,0,0
1707177153,,3.068118,0,2.975718,2.911366,2.256848,0,3.704839,0,0,0,2.070174,3.382814,2.031428,0,2.213048,0,0.716731,0,0,0
1707177154,,1.534059,0,0.74393,0,1.504565,0,0,3.724855,0,0,0,0,0,3.100217,0,0,4.885947,0,0,0
1707177155,,0,3.819832,0,1.469507,0,3.611007,0,0,0,0,0,0,0.647782,0,1.390689,3.380451,2.442974,3.347248,0,0
1707177156,,3.667313,0,3.028239,2.204261,2.171384,0,3.57905,0,0,0,3.229916,3.299002,3.238911,0,2.607541,0,0,0,0,0
1707177157,,0,2.276608,0.75706,0,1.809487,0,0,3.779835,0,0,0,0,0,2.479624,0,0,3.898484,0,0,0
1707177158,,0,1.897173,0,2.19645,0,3.722861,0,0,0,0,0,0,0,0.774883,0.701892,3.379442,0,3.476326,0,0
1707177159,,3.624016,0,3.699885,2.19645,3.746875,0,3.568607,1.473291,0,0,3.162579,2.587664,3.185067,0,3.50946,0,0,0,0,0
1707177160,,0,3.833576,0,0,0,0,0,2.209937,0,0,0,0.808645,0,0,0,0,3.314022,0,0,0
1707177161,,0.750029,0,0,3.718898,0,3.717294,0,0,0,0,0,0,0,3.125588,0,3.343008,0.662804,3.479537,0,0
1707177162,,3.000118,0,4.053191,0.74378,3.982635,0,3.609472,2.163312,0,0,2.833071,0,3.489584,0,3.764789,0.668602,0,0,0,0
1707177163,,0,3.811515,0,0,0,0,0,1.442208,0,0,3.541339,3.205554,0,0,0,0,3.507144,0,0,0
1707177164,,2.856019,0,0,3.657367,0,3.701354,0.856079,0,0,0,0.708268,0,0,3.02807,0,2.059999,3.507144,3.455998,0,0
1707177165,,1.42801,2.30025,3.670585,0,3.505455,0,2.739454,3.835362,0,0,3.063146,0,3.300148,0,3.354986,1.373333,2.458788,0,0,0
1707177166,,0,1.916875,0,0,0,0.72758,0,0,0,0,0,3.226477,0,0,0,0,1.311354,0,0,0
1707177167,,3.818588,0,0,3.684316,0,2.910318,2.157085,0,0,0,0,0,0,2.552909,0,2.033641,0,3.487802,0,0
1707177168,,0,3.821376,3.767302,0,3.741596,0,1.797571,3.767281,0,0,3.419711,0,3.347008,0.638227,3.572427,2.033641,3.598466,0,0,0
